insulator_id,parent_pylon,x,y,z,n_points,dist_to_pylon
0,0,383152.69718395534,5099730.845019088,1909.3390290061366,851,4.211520478935769
1,0,383157.1821821938,5099730.53501047,1909.4720239305313,1091,6.261941146202894
2,0,383148.1683700948,5099731.168650434,1909.4893916665537,1091,6.286045412208316
3,1,383172.6671806905,5100036.159446577,1903.922187387182,846,8.332799830319326
4,1,383168.1425982128,5100036.453229719,1904.0282981112557,1017,9.55790235398473
5,1,383177.1472608541,5100035.835959871,1903.9884041985872,980,9.546244147026945
6,2,383184.00854151987,5100278.893082578,1896.855124007211,1028,9.87140509629544
7,2,383188.49416026956,5100278.621955523,1896.7299753119794,845,8.667957444105959
8,2,383193.02173069667,5100278.342003296,1896.7953903569123,1041,9.844682901861368
